pokemon_id,item_id,move_ids,nature_id,evs,used_in_battle_factory
354,129,101;261;180;282,24,170;0;170;0;170;0,1
291,181,226;14;203;91,8,170;0;170;0;170;0,1
336,209,342;44;137;103,1,252;252;0;0;0;0,1
335,133,163;24;46;98,1,252;252;0;0;0;0,1
323,207,222;182;201;157,19,252;252;0;0;0;0,1
319,209,163;44;352;184,11,0;252;0;0;252;0,1
357,135,345;18;332;211,1,252;252;0;0;0;0,1
82,126,351;49;86;48,6,0;0;0;252;0;252,1
226,220,61;332;240;196,7,252;0;0;0;252;0,1
234,225,326;109;23;28,9,252;0;0;252;0;0,1
359,190,44;13;248;98,11,252;252;0;0;0;0,1
317,232,254;256;255;124,19,0;0;252;0;252;0,1
342,133,61;11;282;182,11,170;0;170;0;170;0,1
18,221,332;297;189;185,1,252;252;0;0;0;0,1
326,181,60;109;248;277,22,252;0;0;252;0;0,1
324,135,52;83;108;133,22,252;0;0;0;252;0,1
99,209,152;232;341;182,1,252;0;0;0;252;0,1
332,209,302;185;51;5,10,252;0;0;0;0;252,1
182,133,80;219;241;235,23,252;0;0;252;0;0,1
224,230,190;62;60;350,1,0;252;0;252;0;0,1
367,133,250;184;189;44,23,252;252;0;0;0;0,1
368,133,250;133;196;93,21,252;0;0;252;0;0,1
369,178,246;352;106;133,24,170;0;0;170;170;0,1
139,230,61;131;321;246,19,252;0;0;252;0;0,1
141,209,163;91;210;282,11,252;252;0;0;0;0,1
62,218,66;91;317;61,11,252;252;0;0;0;0,1
123,178,210;332;113;104,22,252;252;0;0;0;0,1
127,218,66;116;14;279,17,252;252;0;0;0;0,1
186,230,291;91;95;207,22,0;0;252;0;252;0,1
91,223,62;131;48;182,24,252;0;0;0;252;0,1
301,194,313;47;85;58,3,0;0;0;252;0;252,1
302,134,247;185;109;105,19,170;170;0;170;0;0,1
108,126,89;34;247;157,11,0;170;170;0;170;0,1
70,209,188;75;79;115,19,0;0;252;0;252;0,1
75,207,89;157;280;68,11,252;0;0;0;252;0,1
44,128,76;241;188;236,19,0;252;0;252;0;0,1
137,126,161;94;86;105,23,0;252;0;252;0;0,1
64,225,94;86;115;105,3,252;0;252;0;0;0,1
320,127,323;89;34;156,7,0;0;252;0;252;0,1
315,194,202;188;320;235,7,252;0;252;0;0;0,1
313,181,324;85;8;294,19,0;0;0;252;0;252,1
314,181,318;85;8;202,19,0;0;0;252;0;252,1
2,190,202;188;79;73,19,0;252;0;252;0;0,1
5,209,53;163;246;82,1,0;252;0;0;0;252,1
8,230,57;58;229;182,7,252;0;0;252;0;0,1
47,211,147;202;91;104,4,170;0;170;0;170;0,1
67,209,238;157;193;184,11,252;252;0;0;0;0,1
93,134,94;95;171;109,22,170;0;170;0;170;0,1
153,127,202;34;320;156,7,170;0;170;0;170;0,1
156,190,53;306;34;108,7,0;252;0;252;0;0,1
159,207,25;332;157;91,11,252;252;0;0;0;0,1
176,209,216;186;332;281,22,252;0;252;0;0;0,1
198,190,195;212;104;86,19,170;0;170;0;170;0,1
202,207,68;243;227;194,14,0;0;252;0;252;0,1
311,181,85;86;69;273,7,0;0;0;252;0;252,1
312,180,85;213;204;273,7,0;0;0;252;0;252,1
253,134,202;306;103;317,7,0;252;0;0;0;252,1
256,209,53;327;163;28,7,0;170;0;170;0;170,1
259,207,330;89;189;182,7,0;252;0;252;0;0,1
77,135,53;34;24;104,19,0;0;0;252;0;252,1
184,230,25;280;231;91,11,252;0;0;0;252;0,1
185,207,25;89;67;120,1,252;0;0;0;252;0,1
219,194,315;89;157;34,23,252;0;0;0;252;0,1
247,209,89;157;242;184,1,252;252;0;0;0;0,1
364,135,58;57;34;258,23,252;0;0;252;0;0,1
20,207,162;158;247;184,11,0;252;0;0;0;252,1
284,232,56;58;202;78,23,0;0;252;252;0;0,1
162,197,271;218;247;266,11,0;252;0;0;0;252,1
206,232,58;317;44;247,23,0;0;252;0;252;0,1
148,127,216;156;86;349,11,252;0;0;0;252;0,1
262,198,242;247;218;184,19,0;0;252;252;0;0,1
264,197,271;218;86;28,16,0;252;0;0;0;252,1
351,232,85;53;58;352,3,252;0;0;252;0;0,1
372,207,218;349;242;184,1,252;0;0;0;252;0,1
375,207,309;94;34;184,19,252;0;0;252;0;0,1
40,135,313;47;138;280,7,0;0;252;0;252;0,1
192,211,202;320;74;104,23,252;0;252;0;0;0,1
358,225,94;95;138;215,23,170;0;170;0;170;0,1
207,194,89;332;12;103,11,252;0;0;0;252;0,1
211,207,279;188;247;194,11,252;0;0;0;252;0,1
215,198,306;280;332;103,16,170;0;170;0;0;170,1
279,230,57;59;332;182,23,252;0;0;0;252;0,1
277,198,263;332;228;104,11,252;0;0;0;252;0,1
305,135,89;231;46;182,24,252;0;0;0;252;0,1
114,127,202;78;156;133,4,252;0;0;0;252;0,1
24,134,188;89;231;137,11,252;0;252;0;0;0,1
53,228,218;247;46;252,19,170;0;170;0;170;0,1
117,230,56;218;225;349,7,252;0;0;0;252;0,1
352,197,271;280;247;285,7,252;0;252;0;0;0,1
288,180,306;179;203;247,11,0;252;0;0;252;0,1
337,232,94;58;322;347,23,252;0;252;0;0;0,1
338,191,89;157;322;315,1,252;0;0;0;252;0,1
164,133,94;185;332;115,23,0;0;252;252;0;0,1
28,194,89;157;306;201,11,252;0;0;0;252;0,1
49,134,324;94;188;202,7,252;0;0;0;0;252,1
113,211,69;247;104;135,22,0;0;252;0;252;0,1
119,194,32;224;214;156,12,170;0;170;0;170;0,1
189,211,73;79;202;104,2,0;0;252;0;252;0,1
221,230,89;157;34;46,11,0;0;252;0;252;0,1
42,209,188;247;109;314,11,252;252;0;0;0;0,1
57,209,238;317;315;339,19,170;0;170;0;170;0,1
106,232,25;280;193;317,11,252;0;252;0;0;0,1
107,198,223;183;197;68,11,252;0;252;0;0;0,1
203,134,94;242;226;97,3,0;0;252;0;252;0,1
237,207,38;69;157;68,11,252;0;252;0;0;0,1
354,232,247;218;103;261,11,0;0;252;0;252;0,1
291,207,163;247;14;226,19,170;0;170;0;170;0,1
336,194,188;89;242;202,19,170;0;170;0;170;0,1
335,209,306;247;280;332,11,0;252;0;0;0;252,1
323,232,89;284;34;184,19,0;252;0;252;0;0,1
319,209,38;242;89;57,19,0;170;0;170;0;170,1
357,207,76;241;235;34,23,0;252;0;252;0;0,1
82,134,87;240;86;319,1,252;0;0;0;252;0,1
226,230,57;58;240;109,3,252;0;252;0;0;0,1
234,232,218;247;86;109,11,0;252;0;0;0;252,1
359,197,38;247;332;231,11,0;252;0;0;0;252,1
317,211,188;247;34;68,11,252;252;0;0;0;0,1
342,194,12;218;246;332,11,252;0;0;0;252;0,1
18,209,216;332;211;189,11,0;252;0;0;0;252,1
326,134,94;8;9;7,3,0;0;252;252;0;0,1
324,191,315;34;108;182,24,252;0;0;0;252;0,1
99,180,12;317;175;203,11,252;0;0;0;252;0,1
332,133,25;298;185;201,1,0;0;252;0;252;0,1
182,190,76;213;241;235,3,0;0;252;252;0;0,1
224,232,190;126;86;189,19,170;0;170;0;170;0,1
367,230,57;240;242;34,23,252;0;0;0;252;0,1
368,230,57;240;94;34,23,252;0;0;0;252;0,1
369,127,89;157;133;156,24,252;0;0;0;252;0,1
139,135,56;240;58;182,3,252;0;0;0;252;0,1
141,180,163;157;175;203,11,0;252;0;0;252;0,1
62,127,280;95;156;187,11,252;252;0;0;0;0,1
123,190,318;332;14;104,11,0;252;0;0;0;252,1
127,180,12;14;175;203,16,252;0;0;0;0;252,1
186,232,57;94;189;207,3,0;0;252;252;0;0,1
91,211,291;92;104;182,14,252;0;0;0;252;0,1
